"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Latin America & Caribbean","BLZ","Belize","BCG","99.0","90.0","94.0","98.0","98.0","99.0","98.0","98.0","98.0","99.0","98.0","99.0","97.0","96.0","99.0","99.0","96.0","98.0","96.0","96.0","93.0","85.0","90.0","92.0","90.0","91.0","97.0","94.0","93.0","91.0","85.0","77.0","94.0","81.0","77.0","81.0","85.0","71.0","71.0"
"West & Central Africa","BEN","Benin","BCG","89.0","89.0","88.0","86.0","91.0","95.0","96.0","88.0","90.0","93.0","96.0","97.0","93.0","88.0","89.0","90.0","90.0","91.0","92.0","87.0","83.0","78.0","80.0","85.0","94.0","89.0","84.0","82.0","92.0","75.0","50.0","46.0","41.0","27.0","","","","",""
"South Asia","BTN","Bhutan","BCG","99.0","99.0","99.0","99.0","99.0","97.0","95.0","95.0","96.0","94.0","99.0","94.0","92.0","92.0","92.0","93.0","83.0","81.0","97.0","90.0","94.0","92.0","98.0","98.0","96.0","89.0","90.0","95.0","99.0","93.0","73.0","67.0","60.0","54.0","47.0","46.0","45.0","44.0","43.0"
"Latin America & Caribbean","BOL","Bolivia (Plurinational State of)","BCG","90.0","93.0","96.0","99.0","94.0","94.0","99.0","99.0","98.0","93.0","90.0","87.0","87.0","88.0","86.0","96.0","93.0","90.0","92.0","95.0","85.0","88.0","98.0","87.0","92.0","84.0","81.0","67.0","65.0","64.0","56.0","55.0","53.0","24.0","23.0","27.0","31.0","30.0","30.0"
"Eastern Europe & Central Asia","BIH","Bosnia and Herzegovina","BCG","95.0","97.0","97.0","95.0","98.0","97.0","96.0","94.0","96.0","97.0","96.0","98.0","97.0","95.0","95.0","94.0","91.0","95.0","93.0","99.0","92.0","97.0","80.0","64.0","85.0","24.0","20.0","","","","","","","","","","","",""
"Eastern & Southern Africa","BWA","Botswana","BCG","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","97.0","96.0","96.0","95.0","94.0","93.0","93.0","92.0","95.0","95.0","99.0","97.0","95.0","94.0","94.0","93.0","92.0"
"Latin America & Caribbean","BRA","Brazil","BCG","90.0","90.0","90.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","93.0","95.0","90.0","87.0","79.0","74.0","74.0","68.0","65.0","63.0","75.0","66.0","64.0","62.0","56.0"
"East Asia & Pacific","BRN","Brunei Darussalam","BCG","99.0","99.0","99.0","99.0","99.0","99.0","99.0","96.0","95.0","99.0","99.0","96.0","99.0","94.0","99.0","95.0","95.0","99.0","99.0","98.0","96.0","99.0","99.0","99.0","99.0","99.0","97.0","94.0","91.0","88.0","85.0","84.0","85.0","95.0","90.0","99.0","99.0","99.0","99.0"
"Eastern Europe & Central Asia","BGR","Bulgaria","BCG","96.0","96.0","96.0","96.0","97.0","97.0","97.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","99.0","98.0","97.0","98.0","99.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0"
"West & Central Africa","BFA","Burkina Faso","BCG","98.0","98.0","98.0","98.0","98.0","96.0","96.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","83.0","90.0","80.0","81.0","77.0","79.0","75.0","73.0","72.0","75.0","80.0","85.0","88.0","95.0","83.0","70.0","57.0","52.0","33.0","","","","",""
"Eastern & Southern Africa","BDI","Burundi","BCG","91.0","92.0","93.0","93.0","92.0","95.0","98.0","90.0","93.0","98.0","99.0","97.0","98.0","89.0","91.0","90.0","88.0","87.0","85.0","84.0","86.0","87.0","90.0","92.0","61.0","73.0","90.0","87.0","97.0","99.0","54.0","82.0","77.0","52.0","46.0","52.0","56.0","59.0",""
"West & Central Africa","CPV","Cabo Verde","BCG","96.0","98.0","96.0","94.0","99.0","94.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","97.0","96.0","96.0","95.0","94.0","93.0","94.0","94.0","95.0","95.0","99.0","99.0","97.0","99.0","99.0","99.0","93.0","64.0","","","","",""
"East Asia & Pacific","KHM","Cambodia","BCG","93.0","99.0","99.0","99.0","98.0","96.0","99.0","98.0","95.0","96.0","98.0","90.0","87.0","87.0","95.0","76.0","63.0","64.0","81.0","78.0","69.0","67.0","68.0","69.0","63.0","57.0","50.0","56.0","52.0","55.0","58.0","61.0","47.0","33.0","27.0","","","",""
"West & Central Africa","CMR","Cameroon","BCG","88.0","91.0","70.0","74.0","82.0","82.0","81.0","80.0","83.0","81.0","91.0","89.0","96.0","90.0","83.0","82.0","79.0","79.0","78.0","78.0","80.0","75.0","69.0","62.0","59.0","58.0","62.0","69.0","76.0","76.0","71.0","65.0","60.0","54.0","49.0","46.0","27.0","8.0",""
"West & Central Africa","CAF","Central African Republic","BCG","74.0","74.0","74.0","74.0","74.0","37.0","74.0","74.0","74.0","74.0","74.0","74.0","74.0","74.0","73.0","72.0","71.0","70.0","66.0","62.0","70.0","78.0","86.0","94.0","77.0","81.0","85.0","91.0","96.0","86.0","53.0","42.0","37.0","34.0","32.0","29.0","24.0","26.0","17.0"
"West & Central Africa","TCD","Chad","BCG","59.0","59.0","59.0","70.0","58.0","60.0","62.0","52.0","58.0","46.0","30.0","44.0","56.0","41.0","41.0","40.0","46.0","52.0","49.0","45.0","45.0","45.0","39.0","43.0","43.0","34.0","34.0","40.0","59.0","59.0","38.0","32.0","24.0","15.0","8.0","","","",""
"Latin America & Caribbean","CHL","Chile","BCG","96.0","96.0","97.0","93.0","98.0","98.0","92.0","91.0","95.0","95.0","99.0","98.0","98.0","95.0","95.0","95.0","96.0","98.0","93.0","95.0","92.0","92.0","99.0","97.0","99.0","97.0","99.0","99.0","94.0","97.0","98.0","97.0","96.0","96.0","95.0","92.0","94.0","96.0","96.0"
"East Asia & Pacific","CHN","China","BCG","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","97.0","94.0","92.0","86.0","86.0","85.0","85.0","85.0","84.0","84.0","83.0","83.0","84.0","79.0","89.0","92.0","94.0","97.0","99.0","98.0","98.0","85.0","70.0","64.0","59.0","34.0","","",""
"Latin America & Caribbean","COL","Colombia","BCG","89.0","91.0","88.0","90.0","89.0","85.0","89.0","83.0","84.0","90.0","93.0","93.0","96.0","94.0","92.0","97.0","87.0","87.0","91.0","80.0","85.0","97.0","99.0","99.0","99.0","96.0","88.0","95.0","95.0","94.0","99.0","80.0","70.0","76.0","69.0","79.0","65.0","57.0","45.0"
"Eastern & Southern Africa","COM","Comoros","BCG","94.0","94.0","94.0","94.0","90.0","85.0","79.0","78.0","76.0","80.0","81.0","77.0","84.0","80.0","79.0","79.0","90.0","90.0","90.0","87.0","84.0","55.0","55.0","95.0","94.0","95.0","81.0","71.0","99.0","95.0","72.0","97.0","97.0","77.0","56.0","","","",""
"West & Central Africa","COG","Congo","BCG","81.0","76.0","80.0","85.0","95.0","92.0","92.0","95.0","95.0","90.0","93.0","86.0","84.0","73.0","85.0","60.0","51.0","53.0","50.0","39.0","34.0","29.0","51.0","58.0","61.0","63.0","75.0","89.0","90.0","90.0","88.0","87.0","86.0","89.0","80.0","90.0","91.0","","92.0"
"East Asia & Pacific","COK","Cook Islands","BCG","99.0","99.0","99.0","99.0","99.0","98.0","98.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","98.0","99.0","97.0","98.0","85.0","90.0","96.0","99.0","94.0","94.0","96.0","99.0","94.0","90.0","89.0","87.0","99.0","60.0","74.0","59.0","44.0","29.0"
"Latin America & Caribbean","CRI","Costa Rica","BCG","92.0","90.0","89.0","83.0","80.0","79.0","78.0","78.0","77.0","81.0","90.0","91.0","87.0","88.0","90.0","87.0","91.0","87.0","92.0","89.0","87.0","82.0","92.0","99.0","94.0","98.0","94.0","81.0","92.0","89.0","86.0","83.0","79.0","82.0","86.0","83.0","81.0","81.0","80.0"
"West & Central Africa","CIV","Cote d'Ivoire","BCG","98.0","93.0","95.0","79.0","84.0","90.0","93.0","74.0","91.0","95.0","91.0","94.0","77.0","85.0","71.0","78.0","79.0","80.0","80.0","74.0","71.0","73.0","68.0","69.0","75.0","74.0","70.0","65.0","62.0","47.0","52.0","53.0","41.0","29.0","17.0","","","",""
"Eastern Europe & Central Asia","HRV","Croatia","BCG","98.0","98.0","99.0","98.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","98.0","98.0","99.0","97.0","98.0","96.0","97.0","98.0","99.0","99.0","98.0","98.0","92.0","","","","","","","","","","","",""
"Latin America & Caribbean","CUB","Cuba","BCG","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","97.0","98.0","98.0","98.0","98.0","99.0","96.0","98.0","98.0","97.0","96.0","97.0","97.0","99.0"
"Western Europe","CZE","Czechia","BCG","","","","","","","","","","98.0","99.0","99.0","99.0","99.0","99.0","98.0","97.0","98.0","98.0","98.0","98.0","97.0","96.0","95.0","95.0","98.0","","","","","","","","","","","","",""
"East Asia & Pacific","PRK","Democratic People's Republic of Korea","BCG","96.0","98.0","97.0","97.0","98.0","98.0","98.0","98.0","98.0","98.0","97.0","96.0","96.0","94.0","95.0","88.0","96.0","82.0","78.0","73.0","69.0","64.0","73.0","82.0","90.0","99.0","99.0","99.0","99.0","99.0","98.0","69.0","53.0","51.0","49.0","52.0","51.0","52.0","50.0"
"West & Central Africa","COD","Democratic Republic of the Congo","BCG","83.0","80.0","80.0","74.0","78.0","83.0","83.0","66.0","85.0","85.0","78.0","80.0","72.0","72.0","68.0","61.0","50.0","43.0","57.0","30.0","25.0","25.0","25.0","34.0","46.0","43.0","32.0","21.0","65.0","55.0","59.0","57.0","51.0","57.0","62.0","65.0","62.0","61.0","57.0"
"Western Europe","DNK","Denmark","BCG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","DJI","Djibouti","BCG","93.0","92.0","90.0","92.0","99.0","86.0","87.0","89.0","90.0","90.0","90.0","90.0","88.0","80.0","71.0","63.0","52.0","38.0","34.0","26.0","35.0","43.0","51.0","51.0","51.0","51.0","51.0","66.0","81.0","80.0","87.0","42.0","38.0","37.0","36.0","36.0","5.0","",""
