"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"West & Central Africa","GNQ","Equatorial Guinea","HIB3","25.0","25.0","19.0","16.0","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ERI","Eritrea","HIB3","95.0","95.0","95.0","95.0","94.0","94.0","94.0","94.0","95.0","95.0","95.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","EST","Estonia","HIB3","92.0","93.0","93.0","93.0","93.0","94.0","94.0","93.0","94.0","95.0","95.0","95.0","88.0","37.0","27.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SWZ","Eswatini","HIB3","90.0","90.0","90.0","90.0","98.0","98.0","95.0","91.0","89.0","89.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ETH","Ethiopia","HIB3","72.0","73.0","73.0","73.0","61.0","59.0","62.0","65.0","62.0","56.0","52.0","47.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","FJI","Fiji","HIB3","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","98.0","98.0","98.0","98.0","","","","","","","","","","","","","","","","",""
"Western Europe","FIN","Finland","HIB3","91.0","89.0","92.0","97.0","98.0","98.0","99.0","99.0","99.0","98.0","98.0","97.0","98.0","98.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","94.0","93.0","97.0","97.0","","","","","","","","","","","",""
"Western Europe","FRA","France","HIB3","95.0","95.0","95.0","96.0","97.0","98.0","98.0","98.0","97.0","97.0","97.0","97.0","97.0","97.0","97.0","87.0","87.0","86.0","86.0","85.0","79.0","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GAB","Gabon","HIB3","70.0","75.0","75.0","80.0","70.0","79.0","82.0","75.0","67.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GMB","Gambia","HIB3","93.0","92.0","95.0","97.0","96.0","97.0","98.0","96.0","97.0","99.0","97.0","94.0","95.0","95.0","93.0","91.0","89.0","87.0","90.0","94.0","97.0","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","GEO","Georgia","HIB3","93.0","91.0","92.0","87.0","91.0","96.0","92.0","94.0","67.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","DEU","Germany","HIB3","92.0","92.0","92.0","92.0","92.0","92.0","93.0","93.0","93.0","94.0","94.0","94.0","93.0","94.0","94.0","93.0","94.0","94.0","94.0","92.0","90.0","88.0","88.0","85.0","82.0","80.0","74.0","60.0","","","","","","","","","","",""
