"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Eastern Europe & Central Asia","BLR","Belarus","DTP1","97.0","97.0","99.0","99.0","97.0","99.0","98.0","99.0","99.0","98.0","98.0","99.0","99.0","99.0","99.0","74.0","99.0","99.0","99.0","99.0","99.0","98.0","98.0","98.0","97.0","97.0","96.0","","","","","","","","","","","",""
"Western Europe","BEL","Belgium","DTP1","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","97.0","97.0","97.0","97.0","97.0","97.0","96.0","95.0","98.0","97.0","98.0","98.0","98.0","97.0","97.0","97.0","93.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0"
"Latin America & Caribbean","BLZ","Belize","DTP1","97.0","89.0","98.0","97.0","96.0","96.0","99.0","98.0","99.0","99.0","98.0","98.0","98.0","98.0","98.0","98.0","97.0","97.0","96.0","96.0","95.0","95.0","95.0","94.0","96.0","96.0","96.0","94.0","97.0","88.0","90.0","87.0","98.0","81.0","77.0","81.0","74.0","77.0","72.0"
"West & Central Africa","BEN","Benin","DTP1","84.0","84.0","84.0","82.0","84.0","86.0","89.0","85.0","87.0","89.0","91.0","94.0","89.0","84.0","85.0","86.0","87.0","88.0","89.0","88.0","87.0","86.0","86.0","82.0","89.0","87.0","86.0","83.0","86.0","68.0","51.0","46.0","36.0","36.0","","","","",""
"South Asia","BTN","Bhutan","DTP1","98.0","99.0","99.0","99.0","99.0","97.0","97.0","98.0","94.0","97.0","97.0","98.0","97.0","97.0","92.0","96.0","95.0","96.0","96.0","95.0","96.0","95.0","95.0","95.0","95.0","92.0","95.0","97.0","98.0","91.0","88.0","84.0","77.0","66.0","53.0","39.0","37.0","35.0","25.0"
"Latin America & Caribbean","BOL","Bolivia (Plurinational State of)","DTP1","89.0","91.0","93.0","97.0","92.0","87.0","97.0","98.0","97.0","97.0","96.0","85.0","87.0","93.0","88.0","96.0","94.0","91.0","92.0","92.0","86.0","80.0","82.0","84.0","80.0","76.0","70.0","68.0","66.0","76.0","53.0","60.0","67.0","58.0","25.0","31.0","33.0","35.0","32.0"
"Eastern Europe & Central Asia","BIH","Bosnia and Herzegovina","DTP1","89.0","92.0","90.0","89.0","92.0","94.0","95.0","94.0","95.0","95.0","95.0","96.0","94.0","95.0","93.0","93.0","86.0","94.0","90.0","90.0","91.0","92.0","86.0","78.0","94.0","63.0","80.0","","","","","","","","","","","",""
"Eastern & Southern Africa","BWA","Botswana","DTP1","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","96.0","93.0","98.0","98.0","98.0","97.0","97.0","93.0","89.0"
"Latin America & Caribbean","BRA","Brazil","DTP1","87.0","99.0","95.0","97.0","98.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","75.0","85.0","50.0","91.0","88.0","92.0","86.0","79.0","80.0","80.0","80.0","86.0","87.0","82.0","79.0","72.0","62.0"
"East Asia & Pacific","BRN","Brunei Darussalam","DTP1","99.0","99.0","99.0","99.0","99.0","99.0","98.0","99.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","98.0","97.0","97.0","96.0","95.0","95.0","96.0","98.0","95.0","99.0","97.0","96.0"
"Eastern Europe & Central Asia","BGR","Bulgaria","DTP1","94.0","96.0","94.0","93.0","90.0","96.0","96.0","96.0","96.0","96.0","97.0","96.0","97.0","97.0","95.0","96.0","97.0","95.0","95.0","96.0","96.0","97.0","98.0","98.0","97.0","98.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0"
