"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Western Europe","LTU","Lithuania","HEPB3","93.0","94.0","95.0","94.0","94.0","93.0","93.0","95.0","94.0","95.0","96.0","96.0","95.0","95.0","94.0","95.0","94.0","95.0","98.0","96.0","73.0","","","","","","","","","","","","","","","","","",""
"Western Europe","LUX","Luxembourg","HEPB3","96.0","94.0","94.0","94.0","94.0","94.0","94.0","95.0","94.0","95.0","94.0","87.0","95.0","95.0","94.0","95.0","95.0","86.0","77.0","67.0","58.0","49.0","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MDG","Madagascar","HEPB3","75.0","74.0","77.0","69.0","73.0","74.0","70.0","73.0","70.0","77.0","77.0","84.0","82.0","81.0","71.0","61.0","51.0","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MWI","Malawi","HEPB3","92.0","88.0","84.0","88.0","91.0","89.0","96.0","97.0","93.0","93.0","91.0","87.0","99.0","93.0","89.0","84.0","64.0","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MYS","Malaysia","HEPB3","99.0","98.0","98.0","99.0","96.0","96.0","97.0","96.0","96.0","96.0","97.0","96.0","95.0","96.0","94.0","95.0","95.0","95.0","97.0","96.0","96.0","97.0","96.0","96.0","94.0","86.0","86.0","89.0","86.0","69.0","","","","","","","","",""
"South Asia","MDV","Maldives","HEPB3","99.0","99.0","99.0","99.0","99.0","99.0","99.0","96.0","97.0","98.0","98.0","98.0","98.0","98.0","97.0","98.0","98.0","98.0","96.0","90.0","45.0","50.0","96.0","80.0","63.0","21.0","","","","","","","","","","","","",""
"West & Central Africa","MLI","Mali","HEPB3","71.0","70.0","69.0","67.0","66.0","64.0","65.0","66.0","72.0","71.0","74.0","74.0","90.0","83.0","73.0","79.0","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","MLT","Malta","HEPB3","98.0","88.0","97.0","95.0","90.0","94.0","93.0","82.0","75.0","86.0","86.0","82.0","86.0","85.0","85.0","89.0","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MHL","Marshall Islands","HEPB3","84.0","82.0","73.0","85.0","79.0","80.0","80.0","89.0","97.0","99.0","97.0","93.0","97.0","89.0","72.0","74.0","80.0","76.0","38.0","80.0","80.0","70.0","68.0","47.0","46.0","17.0","24.0","17.0","10.0","3.0","","","","","","","","",""
"West & Central Africa","MRT","Mauritania","HEPB3","81.0","81.0","74.0","73.0","81.0","80.0","80.0","75.0","64.0","64.0","74.0","74.0","68.0","42.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MUS","Mauritius","HEPB3","97.0","96.0","72.0","97.0","97.0","98.0","98.0","98.0","99.0","99.0","99.0","97.0","97.0","97.0","98.0","97.0","88.0","92.0","88.0","85.0","90.0","90.0","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","MEX","Mexico","HEPB3","55.0","58.0","93.0","82.0","84.0","82.0","99.0","98.0","93.0","95.0","97.0","98.0","98.0","98.0","98.0","98.0","97.0","97.0","97.0","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","FSM","Micronesia (Federated States of)","HEPB3","83.0","80.0","76.0","78.0","81.0","83.0","82.0","83.0","88.0","89.0","89.0","90.0","84.0","91.0","80.0","89.0","85.0","81.0","87.0","77.0","79.0","78.0","80.0","82.0","82.0","82.0","73.0","65.0","56.0","47.0","","","","","","","","",""
