"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"West & Central Africa","TCD","Chad","RCV1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CHL","Chile","RCV1","93.0","93.0","93.0","96.0","97.0","90.0","90.0","91.0","93.0","93.0","96.0","92.0","91.0","90.0","94.0","96.0","95.0","96.0","97.0","94.0","98.0","96.0","93.0","97.0","96.0","94.0","89.0","99.0","97.0","","","","","","","","","",""
"East Asia & Pacific","CHN","China","RCV1","99.0","99.0","99.0","95.0","98.0","96.0","95.0","86.0","62.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","COL","Colombia","RCV1","95.0","93.0","93.0","94.0","91.0","92.0","94.0","88.0","88.0","89.0","95.0","93.0","95.0","96.0","94.0","93.0","93.0","93.0","88.0","79.0","78.0","80.0","90.0","95.0","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","COM","Comoros","RCV1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COG","Congo","RCV1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","COK","Cook Islands","RCV1","99.0","98.0","90.0","99.0","98.0","97.0","97.0","89.0","99.0","78.0","95.0","98.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CRI","Costa Rica","RCV1","94.0","96.0","93.0","93.0","95.0","91.0","90.0","83.0","83.0","81.0","89.0","90.0","90.0","89.0","88.0","89.0","94.0","82.0","82.0","88.0","83.0","99.0","84.0","91.0","87.0","89.0","92.0","96.0","90.0","77.0","97.0","93.0","","","","","","",""
"West & Central Africa","CIV","Cote d'Ivoire","RCV1","71.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","HRV","Croatia","RCV1","93.0","89.0","90.0","93.0","94.0","94.0","95.0","96.0","96.0","95.0","96.0","96.0","95.0","96.0","96.0","94.0","95.0","94.0","93.0","92.0","91.0","91.0","92.0","92.0","90.0","90.0","90.0","","","","","","","","","","","",""
"Latin America & Caribbean","CUB","Cuba","RCV1","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","97.0","96.0","98.0","99.0","99.0","98.0","96.0","94.0","96.0","99.0","96.0","99.0","99.0","99.0","96.0","99.0","99.0","94.0","98.0","89.0","99.0","80.0","","","","","",""
"Western Europe","CYP","Cyprus","RCV1","90.0","90.0","90.0","90.0","86.0","86.0","86.0","87.0","87.0","87.0","87.0","87.0","87.0","86.0","86.0","86.0","86.0","86.0","86.0","87.0","89.0","90.0","90.0","83.0","82.0","81.0","80.0","78.0","77.0","76.0","74.0","91.0","60.0","43.0","25.0","19.0","21.0","28.0","29.0"
"Western Europe","CZE","Czechia","RCV1","96.0","97.0","98.0","99.0","99.0","99.0","98.0","98.0","98.0","98.0","97.0","98.0","97.0","97.0","97.0","97.0","98.0","97.0","97.0","97.0","95.0","96.0","97.0","96.0","97.0","98.0","","","","","","","","","","","","",""
"East Asia & Pacific","PRK","Democratic People's Republic of Korea","RCV1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COD","Democratic Republic of the Congo","RCV1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","DNK","Denmark","RCV1","95.0","97.0","94.0","91.0","90.0","89.0","90.0","87.0","85.0","84.0","87.0","89.0","90.0","95.0","96.0","96.0","95.0","94.0","99.0","92.0","91.0","84.0","85.0","88.0","88.0","81.0","85.0","86.0","84.0","80.0","72.0","82.0","","","","","","",""
"Eastern & Southern Africa","DJI","Djibouti","RCV1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DMA","Dominica","RCV1","84.0","77.0","96.0","96.0","94.0","93.0","99.0","99.0","99.0","99.0","99.0","96.0","97.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","88.0","88.0","","","","","","","","",""
"Latin America & Caribbean","DOM","Dominican Republic","RCV1","95.0","86.0","85.0","90.0","88.0","83.0","88.0","87.0","85.0","84.0","83.0","82.0","81.0","79.0","81.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ECU","Ecuador","RCV1","83.0","81.0","86.0","84.0","85.0","97.0","96.0","94.0","95.0","97.0","98.0","98.0","97.0","93.0","99.0","99.0","99.0","99.0","99.0","99.0","89.0","77.0","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","EGY","Egypt","RCV1","94.0","94.0","95.0","92.0","93.0","96.0","93.0","96.0","96.0","95.0","92.0","97.0","97.0","97.0","96.0","97.0","96.0","99.0","97.0","95.0","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","SLV","El Salvador","RCV1","81.0","85.0","90.0","95.0","95.0","94.0","93.0","89.0","92.0","91.0","95.0","99.0","98.0","99.0","93.0","90.0","93.0","95.0","97.0","94.0","99.0","98.0","","","","","","","","","","","","","","","","",""
"West & Central Africa","GNQ","Equatorial Guinea","RCV1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ERI","Eritrea","RCV1","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","EST","Estonia","RCV1","87.0","93.0","93.0","93.0","93.0","94.0","94.0","94.0","95.0","95.0","95.0","96.0","96.0","96.0","96.0","95.0","95.0","95.0","93.0","92.0","89.0","88.0","86.0","81.0","76.0","74.0","","","","","","","","","","","","",""
