"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"West & Central Africa","MRT","Mauritania","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MUS","Mauritius","MCV2","99.0","95.0","92.0","96.0","85.0","85.0","90.0","89.0","90.0","85.0","83.0","80.0","85.0","78.0","80.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","MEX","Mexico","MCV2","99.0","62.0","98.0","96.0","95.0","76.0","92.0","97.0","91.0","92.0","94.0","85.0","91.0","97.0","97.0","96.0","89.0","99.0","98.0","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","FSM","Micronesia (Federated States of)","MCV2","48.0","52.0","45.0","74.0","75.0","75.0","70.0","75.0","75.0","82.0","84.0","86.0","85.0","84.0","74.0","66.0","65.0","64.0","50.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","MCO","Monaco","MCV2","79.0","79.0","79.0","79.0","79.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MNG","Mongolia","MCV2","98.0","98.0","90.0","98.0","98.0","97.0","98.0","98.0","95.0","97.0","96.0","97.0","96.0","98.0","98.0","98.0","96.0","95.0","75.0","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","MNE","Montenegro","MCV2","83.0","83.0","86.0","94.0","95.0","94.0","97.0","97.0","97.0","96.0","96.0","95.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","MAR","Morocco","MCV2","99.0","99.0","99.0","95.0","54.0","","","","","","","92.0","92.0","92.0","91.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MOZ","Mozambique","MCV2","59.0","45.0","36.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MMR","Myanmar","MCV2","87.0","80.0","86.0","78.0","82.0","80.0","","80.0","75.0","65.0","57.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
